County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Kings,737158,Store,JAC,M & S SUPERMARKET CORP,MET FOODS,3404,QUENTIN RD,,,BROOKLYN,NY,11234,5000,-73.938034,40.61383,3404 QUENTIN RD
Kings,736984,Store,JAC,WILSON FINEST DELI GROCERY CORP,WILSON FINEST DELI GROC,83,WILSON AVE,,,BROOKLYN,NY,11237,8000,-73.927706,40.701829,83 WILSON AVE
Queens,736718,Store,JAC,NORTH SHORE FARMS WHITESTONE LTD,NORTH SHORE FARMS,153-01,10TH AVENUE,,,WHITESTONE,NY,11357,23000,-73.808229,40.793388,153-01 10TH AVENUE
Kings,736653,Store,JAC,GUMPTION COFFEE INC,GUMPTION COFFEE,168,39TH STREET,,,BROOKLYN,NY,11232,6000,-74.010794,40.655461,168 39TH STREET
Kings,736629,Store,JAC,GOLDEN BOYS GROUP INC,GOLDEN FARMS,416,CRESCENT ST,,,BROOKLYN,NY,11208,10000,-73.870739,40.678393,416 CRESCENT ST
Kings,736511,Store,JAC,W & U SUTTER GROCERY CORP,W & U SUTTER GROCERY,1342,SUTTER AVENUE,,,BROOKLYN,NY,11208,15000,-73.868281,40.673317,1342 SUTTER AVENUE
Queens,736416,Store,JAC,BEACH CHANNEL MEAT & PRODUCE CORP,SHOP FAIR SUPERMARKET,1329,BEACH CHANNEL DRIVE,,,FAR ROCKAWAY,NY,11691,10000,-73.754785,40.60615,1329 BEACH CHANNEL DRIVE
New York,736405,Store,JAC,SIREN RETAIL CORPORATION,ROASTERY AND RESERVE TA,61,9TH AVE,,,NEW YORK,NY,10011,5000,-74.005056,40.741475,61 9TH AVE
New York,736284,Store,JAC,ALV SUPERMARKET LLC,MET FRESH,119,AVENUE D,,,NEW YORK,NY,10009,13000,-73.975794,40.724029,119 AVENUE D
Kings,736228,Store,JAC,LOVE FIELD INC,SUNRISE MART,934,3RD AVENUE,,,BROOKLYN,NY,11232,5000,-74.006295,40.655903,934 3RD AVENUE
Kings,736127,Store,JAC,BUSHWICK MARKET INC,MET FRESH,1381,MYRTLE AVENUE,,,BROOKLYN,NY,11237,5500,-73.920876,40.698543,1381 MYRTLE AVENUE
Queens,736077,Store,JAC,ALMONTE GARDENS FOOD CORP,FINE FARE SUPERMARKET,145-44,FARMERS BLVD,,,JAMAICA,NY,11434,6800,-73.768141,40.664734,145-44 FARMERS BLVD
Queens,735994,Store,JAC,KW SUPERMARKET INC,KW SUPERMARKET,37-04,UNION ST,,,FLUSHING,NY,11354,5000,-73.827494,40.762386,37-04 UNION ST
Kings,735864,Store,JAC,TARGET CORPORATION,TARGET STORE T-3243,1715,E 13TH ST,,,BROOKLYN,NY,11229,35000,-73.959909,40.607552,1715 E 13TH ST
Richmond,735744,Store,JAC,LUS LICENSING LLC,LIDL #1372,283,PLATINUM AVE,,,STATEN ISLAND,NY,10314,20000,-74.167565,40.578459,283 PLATINUM AVE
Richmond,735464,Store,JAC,TORTILLERIA OAXACA II INC,TORTILLERIA OAXACA II,57,VICTORY BLVD,,,STATEN ISLAND,NY,10301,6000,-74.077777,40.638054,57 VICTORY BLVD
Kings,735279,Store,JAC,THREEFOLD HOLDINGS LLC,THREES BREWING,333,DOUGLAS STREET,,,BROOKLYN,NY,11217,8000,-73.982308,40.679527,333 DOUGLAS STREET
Kings,735257,Store,JAC,FOOD STORY NATURAL MARKET II INC,FOOD STORY NATURAL MARK,1550,MYRTLE AVE,,,BROOKLYN,NY,11237,5700,-73.911688,40.699484,1550 MYRTLE AVE
Queens,735128,Store,JAC,T & K SUPERMARKET LLC,C TOWN SUPERMARKET,195-09,JAMAICA AVE,,,HOLLIS,NY,11423,7000,-73.765658,40.71332,195-09 JAMAICA AVE
Kings,735127,Store,JAC,BERRY GOODS SUPERMARKET CORP,BERRY GOODS SUPERMARKET,1413,AVENUE J,,,BROOKLYN,NY,11230,7600,-73.961832,40.625133,1413 AVENUE J
Richmond,735121,Store,JAC,406 DELI & GROCERY INC,406 DELI & GROCERY,406,PORT RICHMOND AVE,,,STATEN ISLAND,NY,10302,5000,-74.137825,40.632109,406 PORT RICHMOND AVE
Kings,735101,Store,JAC,MP LORRAINE CORP,ASSOCIATED SUPERMARKET,58-60,LORRAINE STREET,,,BROOKLYN,NY,11231,12000,-74.007478,40.674561,58-60 LORRAINE STREET
Bronx,735052,Store,JAC,ALRA CORP,EXTRA JUMBO MARKET PLAC,1384,NELSON AVENUE,,,BRONX,NY,10452,25000,-73.922759,40.841376,1384 NELSON AVENUE
Bronx,734921,Store,JAC,JAMAICA RYTHMS FISH MARKET INC,JAMAICA RYTHMS FISH MAR,3959,BRONXWOOD AVE,,,BRONX,NY,10466,9000,-73.854924,40.885598,3959 BRONXWOOD AVE
New York,734920,Store,JAC,TARGET CORP,TARGET STORE T-3284,400,GRAND ST,,,NEW YORK,NY,10002,10000,-73.987057,40.716091,400 GRAND ST
Queens,734848,Store,JAC,NATURE FARM SUPERMARKET CORP,NATURE FARM SUPERMARKET,249-26,HORACE HARDING EXPRESSWAY,,,LITTLE NECK,NY,11362,12000,-73.730975,40.76074,249-26 HORACE HARDING EXPRESSWAY
Kings,734847,Store,JAC,PROPERFOOD LLC,PROPER FOOD,133,HARRISON PL,,,BROOKLYN,NY,11237,11000,-73.92833,40.706932,133 HARRISON PL
Queens,734717,Store,JAC,JRI FOOD CORP,KEY FOOD FRESH,171-11,LINDEN BOULEVARD,,,JAMAICA,NY,11434,10000,-73.7785,40.691836,171-11 LINDEN BOULEVARD
Queens,734552,Store,JAC,FOOD STORY NATURAL MARKET 111 INC,FOOD STORY NATURAL MARK,23-38,31ST ST,,,ASTORIA,NY,11105,8000,-73.913632,40.773757,23-38 31ST ST
Bronx,734506,Store,JAC,195 WEBSTER MEAT & PRODUCE CORP,FINE FARE,2645,WEBSTER AVENUE,,,BRONX,NY,10458,7500,-73.889025,40.863546,2645 WEBSTER AVENUE
Queens,734363,Store,JAC,G MART INC,G MART,57-03,ROOSEVELT AVE,,,WOODSIDE,NY,11377,5000,-73.907487,40.745299,57-03 ROOSEVELT AVE
New York,734145,Store,JAC,180 3RD AVE LLC,WESTSIDE MARKET,180,3RD AVE,,,NEW YORK,NY,10003,5200,-73.985943,40.734989,180 3RD AVE
Bronx,734129,Store,JAC,VILLAGE SUPER MARKET OF NY LLC,SHOPRITE OF BRUCKNER BL,1994,BRUCKNER BLVD,,,BRONX,NY,10473,45000,-73.856826,40.825952,1994 BRUCKNER BLVD
New York,733937,Store,JAC,REAL CHANCE INC THE,CITY FRESH MARKET,125,EAST 116TH STREET,,,NEW YORK,NY,10029,6000,-73.941979,40.798774,125 EAST 116TH STREET
Queens,733517,Store,JAC,AGUILAR MEAT & PRODUCE INC,KEY FOOD MARKET PLACE,155-15,AGUILAR AVE,,,FLUSHING,NY,11367,17000,-73.813015,40.728098,155-15 AGUILAR AVE
Richmond,733497,Store,JAC,TOMPKINS FOOD CORP,MARKET FRESH,570,TOMPKINS AVENUE,,,STATEN ISLAND,NY,10305,10000,-74.070997,40.612188,570 TOMPKINS AVENUE
Kings,733069,Store,JAC,A & D SUPERMARKET CORP,CITY FRESH MARKET,57,KINGSLAND AVE,,,BROOKLYN,NY,11211,5000,-73.940359,40.717995,57 KINGSLAND AVE
Bronx,733038,Store,JAC,628 MORRIS FOOD CORP,628 MORRIS FOOD,628,MORRIS AVENUE,,,BRONX,NY,10451,10000,-73.921967,40.81915,628 MORRIS AVENUE
Richmond,732807,Store,JAC,ZAYTONA HALAL SUPERMARKET INC,MECCA MARKET,2256,FOREST AVE,,,STATEN ISLAND,NY,10303,7000,-74.165154,40.627066,2256 FOREST AVE
New York,732757,Store,JAC,HANA MART COLUMBIA CORP,H MART,2828,BROADWAY,,,NEW YORK,NY,10025,6500,-73.966782,40.803895,2828 BROADWAY
Kings,732661,Store,JAC,12ST FOOD CORP,AWESOME ORGANIC MARKET,493,5TH AVE,,,BROOKLYN,NY,11215,5000,-73.987726,40.667461,493 5TH AVE
Kings,732643,Store,JAC,TAPSCOTT FINEST MEAT CORP,GREEN VILLAGE SUPERMARK,229,TAPSCOTT STREET,,,BROOKLYN,NY,11212,10000,-73.919567,40.661988,229 TAPSCOTT STREET
Kings,732353,Store,JAC,JOAN FOOD CORP,C TOWN,2115,PITKIN AVE,,,BROOKLYN,NY,11207,30000,-73.89444,40.672162,2115 PITKIN AVE
Kings,732190,Store,JAC,MIRANDA DELI FOOD CORP,MIRANDA DELI FOOD,4402,AVENUE J,,,BROOKLYN,NY,11234,30000,-73.933467,40.627825,4402 AVENUE J
Queens,731989,Store,JAC,SKYFOODS MAIN INC,TOUS MART,4228,MAIN ST,,,FLUSHING,NY,11355,7500,-73.827982,40.754649,4228 MAIN ST
Kings,731961,Store,JAC,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET 365,292,ASHLAND PLACE,,,BROOKLYN,NY,11217,25000,-73.978211,40.686878,292 ASHLAND PLACE
Queens,731894,Store,JAC,HONG KONG SUPERMARKET OF FLUSHING,HONG KONG SUPERMARKET,37-11,MAIN STREET,,,FLUSHING,NY,11354,16000,-73.830943,40.761191,37-11 MAIN STREET
Bronx,731734,Store,JAC,DHAKA SUPERMARKET & HALAL MEAT IN,DHAKA SUPERMARKET & HAL,369,E 204TH STREET,,,BRONX,NY,10467,5000,-73.877366,40.871688,369 E 204TH STREET
Kings,731715,Store,JAC,739 FOOD INC,MET FOOD MARKET,739,NOSTRAND AVE,,,BROOKLYN,NY,11216,8000,-73.950287,40.672077,739 NOSTRAND AVE
Queens,731290,Store,JAC,NUTROPIA INC,NUTROPIA,105-02,MERRICK BLVD,,,JAMAICA,NY,11433,5500,-73.789577,40.700782,105-02 MERRICK BLVD
Richmond,731019,Store,JAC,VG FOOD & BEVERAGE GROUP LLC,VG FOOD & BEVERAGE GROU,250,ARLINGTON AVE,,,STATEN ISLAND,NY,10303,18000,-74.167558,40.633951,250 ARLINGTON AVE
Queens,731004,Store,JAC,RUSS INDIAN FOOD INC,REAL USHA SWEETS AND SN,259-15,HILLSIDE AVENUE,,,GLEN OAKS,NY,11004,5000,-73.708637,40.737278,259-15 HILLSIDE AVENUE
Kings,730773,Store,JAC,TARGET CORPORATION,TARGET STORE T3276,6401,18TH AVE,,,BROOKLYN,NY,11204,8000,-73.989768,40.61954,6401 18TH AVE
Kings,730571,Store,JAC,DOLGENCORP OF NEW YORK INC,DOLLAR GENERAL # 19213,1192,MYRTLE AVE,,,BROOKLYN,NY,11221,15000,-73.931114,40.69744,1192 MYRTLE AVE
Queens,730553,Store,JAC,DOLGENCORP OF NEWYORK INC,DOLLAR GENERAL # 19222,7134,MYRTLE AVE,,,RIDGEWOOD,NY,11385,5500,-73.878623,40.702126,7134 MYRTLE AVE
Queens,730378,Store,JAC,N & M EXPRESS DELI INC,N & M EXPRESS DELI,222-01,JAMAICA AVE,,,QUEENS VILLAGE,NY,11428,12000,-73.732192,40.720517,222-01 JAMAICA AVE
Kings,730294,Store,JAC,AVE U FISH MARKET INC,AVE U FISH MARKET,1406,AVENUE U,,,BROOKLYN,NY,11229,25000,-73.957049,40.598771,1406 AVENUE U
