County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
New York,733960,Store,JAC,YMJ EXPRESS LLC,LAMARS BAGEL EXPRESS,197,B MADISON STREET,,,NEW YORK,NY,10002,1200,-73.990287,40.712621,197 B MADISON STREET
Kings,733932,Store,JAC,FAMOUS & FAMOUS GROCERY INC,FAMOUS & FAMOUS GROCERY,783,B HICKS ST,,,BROOKLYN,NY,11231,1300,-74.005044,40.676173,783 B HICKS ST
Kings,733924,Store,JAC,GOLDEN KOLOS CORP,GOLDEN KOLOS,371,AVENUE X,,,BROOKLYN,NY,11223,1200,-73.969085,40.59067,371 AVENUE X
New York,733921,Store,JAC,DELITERIA 1061 INC,DELITERIA,1061,2ND AVE,,,NEW YORK,NY,10022,1500,-73.965853,40.75852,1061 2ND AVE
Bronx,733869,Store,JAC,3 MMM TREE COFFEE DELI CORP,3 MMM TREE COFFEE DELI,874,MORRIS PARK AVE,,,BRONX,NY,10462,900,-73.85973,40.846552,874 MORRIS PARK AVE
Queens,733866,Store,JAC,M&H GOURMET DELI CORP,M&H GOURMET DELI,77-01,JAMAICA AVE,,,WOODHAVEN,NY,11421,1000,-73.864775,40.6917,77-01 JAMAICA AVE
Kings,733860,Store,JAC,BRIGHTON FOOD GROUP INC,GOLD LABEL,281-285,BRIGHTON BEACH AVENUE,,,BROOKLYN,NY,11235,4000,-73.964591,40.576939,281-285 BRIGHTON BEACH AVENUE
Queens,733842,Store,JAC,KUBUS POLISH AMERICAN DELI INC,KUBUS POLISH AMERICAN D,65-27,GRAND AVE,,,MASPETH,NY,11378,1500,-73.90001,40.723478,65-27 GRAND AVE
Kings,733823,Store,JAC,AMY GROCERY MINI MARKET INC,AMY GROCERY MINI MARKET,5724,5TH AVENUE,,,BROOKLYN,NY,11220,1800,-74.014866,40.640726,5724 5TH AVENUE
Kings,733822,Store,JAC,PEREZ JOSE A,MOCA FRUITS &VEGETABLES,837,KNICKERBOCKER AVE,,,BROOKLYN,NY,11207,1000,-73.906346,40.691975,837 KNICKERBOCKER AVE
Kings,733821,Store,JAC,MIMI JUICE CORP,MIMI JUICE,2077-2079,E 19TH ST,,,BROOKLYN,NY,11229,600,-73.952719,40.599781,2077-2079 E 19TH ST
Kings,733770,Store,JAC,ROSENFELDS FISH MARKET INC,ROSENFELDS GOURMET FISH,347,WILLOUGHBY AVE,,,BROOKLYN,NY,11205,1000,-73.957122,40.692843,347 WILLOUGHBY AVE
Kings,733758,Store,JAC,AROMA RICH INC,AROMA RICH,3924,18TH AVENUE,,,BROOKLYN,NY,11218,1000,-73.9729,40.632762,3924 18TH AVENUE
Bronx,733756,Store,JAC,843 MASTER DELI & GROCERY INC,843 MASTER DELI & GROCE,843,SOUNDVIEW AVE,,,BRONX,NY,10473,1400,-73.867201,40.822328,843 SOUNDVIEW AVE
Richmond,733673,Store,JAC,LAS PRIMAS RESTAURANT CORP,LAS PRIMAS DELI GROCERY,360,TARGEE ST,,,STATEN ISLAND,NY,10304,3000,-74.084882,40.618449,360 TARGEE ST
Kings,733670,Store,JAC,EAST NEW YORK FRUIT&VEG111 INC,EAST NEW YORK FRUIT&VEG,330,NEW LOTS AVE,,,BROOKLYN,NY,11207,1000,-73.894486,40.661219,330 NEW LOTS AVE
Bronx,733666,Store,JAC,LOTUS JACKSON AVE GAS CORP,CITGO,250,JACKSON AVENUE,,,BRONX,NY,10454,1000,-73.912596,40.805205,250 JACKSON AVENUE
Kings,733575,Store,JAC,DANNY DELI GROCERY INC,DANNY DELI GROCERY,601,MYRTLE AVE,,,BROOKLYN,NY,11205,1000,-73.959944,40.694141,601 MYRTLE AVE
Queens,733574,Store,JAC,JABAR TWO FAMOUS DELI INC,JABAR TWO FAMOUS DELI,246-02,FRANCIS LEWIS BLVD,,,ROSEDALE,NY,11422,1200,-73.73442,40.664231,246-02 FRANCIS LEWIS BLVD
New York,733567,Store,JAC,POR LA GRACIA DE DIOS TRES LOCHES,POR LA GRACIA DE DIOS T,356,E 112TH STREET,,,NEW YORK,NY,10029,2000,-73.937712,40.79365,356 E 112TH STREET
Bronx,733565,Store,JAC,BAILEYS QUICK STOP DELI INC,BAILEYS QUICK STOP DELI,141,W 231ST STREET,,,BRONX,NY,10463,1000,-73.902752,40.878153,141 W 231ST STREET
Queens,733561,Store,JAC,205 SB FRUITS & VEGETABLES CORP,SB FRUIT VEGETABLE & GR,205-01,HILLSIDE AVE,,,HOLLIS,NY,11423,1500,-73.759936,40.720811,205-01 HILLSIDE AVE
Kings,733560,Store,JAC,SONGS UTICA MARKET CORP,UTICA FOOD MARKET,848,UTICA MARKET,,,BROOKLYN,NY,11203,2300,,,848 UTICA MARKET
Queens,733558,Store,JAC,JESSE GOURMET DELI CORP,JESSE GOURMET DELI,83-01,MYRTLE AVE,,,RIDGEWOOD,NY,11385,1200,-73.865513,40.703196,83-01 MYRTLE AVE
Kings,733523,Store,JAC,86TH ST GOURMET DELI & GRILL INC,86TH ST GOURMET DELI &,8523,18TH AVENUE,,,BROOKLYN,NY,11214,1500,-74.002479,40.607391,8523 18TH AVENUE
Kings,733516,Store,JAC,ASAAD DELI & GRILL CORP,ASAAD DELI & GRILL,111,CHURCH AVENUE,,,BROOKLYN,NY,11218,1700,-73.979029,40.642973,111 CHURCH AVENUE
New York,733511,Store,JAC,MIDORYA INC,MIDORIYA,11,EAST 17TH STREET,,,NEW YORK,NY,10003,1800,-73.991346,40.73755,11 EAST 17TH STREET
Kings,733504,Store,JAC,TELECOM DELI & GROCERY CORP,TELECOM DELI & GROCERY,6756,4TH AVENUE,,,BROOKLYN,NY,11220,1500,-74.023131,40.635576,6756 4TH AVENUE
Kings,733502,Store,JAC,L&L MP INC,SEAFOOD PREMIUM,292,BROADWAY 1ST FL,,,BROOKLYN,NY,11211,1000,-73.958317,40.708551,292 BROADWAY 1ST FL
Kings,733500,Store,JAC,19TH AVENUE CONVENIENCE INC.,19TH AVE DELI & GROCERY,1880,86TH STREET,,,BROOKLYN,NY,11214,2000,-74.000656,40.606055,1880 86TH STREET
Richmond,733496,Store,JAC,BAO FOOD & GROCERY CORP,BAO FOOD & GROCERY,1039,CASTLETON AVENUE,,,STATEN ISLAND,NY,10310,3000,-74.116882,40.634582,1039 CASTLETON AVENUE
Kings,733494,Store,JAC,SPOT ON 79TH CORP THE,SPOT ON 79TH THE,7901,18TH AVE,,,BROOKLYN,NY,11214,1500,-73.998486,40.610912,7901 18TH AVE
Queens,733491,Store,JAC,136 DELI & GRILL INC,136 DELI & GRILL,135-33,SPRINGFIELD BLVD,,,SPRINGFIELD GARDEN,NY,11413,1000,-73.754624,40.678001,135-33 SPRINGFIELD BLVD
Kings,733490,Store,JAC,ADAMS DELI ON KINGS HIGHWAY CORP,ADAMS DELI,922,KINGS HIGHWAY,,,BROOKLYN,NY,11223,2000,-73.963126,40.606949,922 KINGS HIGHWAY
Kings,733489,Store,JAC,EL SAZON DELI GROCERY INC,EL SAZON DELI GROCERY,2096,FULTON STREET,,,BROOKLYN,NY,11233,1000,-73.913348,40.678416,2096 FULTON STREET
Bronx,733481,Store,JAC,EAT BETTER GOURMET DELI INC,EAT BETTER GOURMET DELI,721,BURKE AVE,,,BRONX,NY,10467,1100,-73.866002,40.871421,721 BURKE AVE
Queens,733477,Store,JAC,COZY GOURMET DELI 1 INC,COZY GOURMET DELI 1,1040,41ST AVENUE,,,LONG ISLAND CITY,NY,11101,1200,-73.944373,40.754976,1040 41ST AVENUE
Bronx,733464,Store,JAC,RUANES DELI OF EDGEWATER INC,RUANES DELI OF EDGEWATE,2,CENTER EDGE WATER PARK DR,,,BRONX,NY,10465,1000,,,2 CENTER EDGE WATER PARK DR
New York,733456,Store,JAC,ISHANI CONVENIENCE INC,7 ELEVEN STORE #35522C,600,COLUMBUS AVE,,,NEW YORK,NY,10024,600,-73.970637,40.788591,600 COLUMBUS AVE
Kings,733431,Store,JAC,STAR 70 GOURMET DELI CORP,STAR 70 GOURMET DELI,5402,AVENUE N,,,BROOKLYN,NY,11234,2000,-73.922519,40.619222,5402 AVENUE N
New York,733430,Store,JAC,NAGI DELI AND GROCERY CORP,NAGI DELI,2400,7TH AVE,,,NEW YORK,NY,10030,1800,-73.941333,40.818693,2400 7TH AVE
Kings,733410,Store,JAC,533 GOURMET DELI CORP,533 GOURMET DELI,533,DEKALB AVE,,,BROOKLYN,NY,11205,1800,-73.95558,40.690892,533 DEKALB AVE
Kings,733406,Store,JAC,NAVO FOOD CORP,NAVO FOOD,159,ROGERS AVENUE,,,BROOKLYN,NY,11216,1400,-73.953064,40.67202,159 ROGERS AVENUE
Kings,733400,Store,JAC,EGAN DELI INC,EGAN DELI,1166,ELTON ST,,,BROOKLYN,NY,11239,2200,-73.873794,40.655972,1166 ELTON ST
Bronx,733389,Store,JAC,EMPIRE  DELI GROCERY INC,EMPINE DELI GROCERY,511,EAST 138TH STREET,,,BRONX,NY,10454,1000,-73.919067,40.807491,511 EAST 138TH STREET
Kings,733340,Store,JAC,FINEST 1 FOOD CORP,FINEST 1 FOOD,912,GATES AVE,,,BROOKLYN,NY,11221,1200,-73.927692,40.688851,912 GATES AVE
Queens,733331,Store,JAC,PLAZA PUEBLA 47 GROCERY INC,PLAZA PUEBLA 47 GROCERY,47-02,48TH AVE,,,WOODSIDE,NY,11377,800,-73.918357,40.739181,47-02 48TH AVE
Kings,733325,Store,JAC,BAO SHENG MARKET INC,BAO SHENG MARKET,5514,8TH AVENUE,,,BROOKLYN,NY,11220,1800,-74.006927,40.638014,5514 8TH AVENUE
Queens,733324,Store,JAC,94TH DELI & GRILL INC,94TH DELI & GRILL,9420,JAMAICA AVE,,,WOODHAVEN,NY,11421,2500,-73.850583,40.694188,9420 JAMAICA AVE
Bronx,733306,Store,JAC,549 GROCERY INC,549 GROCERY,549,SOUTHERN BLVD,,,BRONX,NY,10455,700,-73.903808,40.812271,549 SOUTHERN BLVD
Kings,733304,Store,JAC,KEV & J GROCERY INC,KEV & J GROCERY,1195,BUSHWICK AVE,,,BROOKLYN,NY,11221,1200,-73.916327,40.688462,1195 BUSHWICK AVE
Bronx,733300,Store,JAC,DAWOUD DELI GROCERY CORP,DAWOUD DELI GROCERY,1126,WESTCHESTER AVE,,,BRONX,NY,10459,1000,-73.890001,40.825654,1126 WESTCHESTER AVE
Kings,733279,Store,JAC,KING 3 DELI GROCERY CORP,KING 3 DELI GROCERY,4918,NEW UTRECHT AVE,,,BROOKLYN,NY,11219,1000,-73.994788,40.636201,4918 NEW UTRECHT AVE
Queens,733277,Store,JAC,JUNE FISH INC,JUNE FISH,143-65,243RD STREET,,,ROSEDALE,NY,11422,820,-73.739142,40.660588,143-65 243RD STREET
Kings,733273,Store,JAC,AMERICAN CHOICE GOURMET DELI INC,AMERICAN CHOICE GOURMET,218,BROADWAY,,,BROOKLYN,NY,11211,600,-73.960993,40.709483,218 BROADWAY
Bronx,733263,Store,JAC,SAZIA CORPORATION,ZK BAKERY,1567,SAINT PETERS AVE,,,BRONX,NY,10461,1000,-73.847724,40.840643,1567 SAINT PETERS AVE
Kings,733260,Store,JAC,H&E GOURMET INC,STRADIVA GOURMET,2425,MCDONALD AVE,,,BROOKLYN,NY,11223,1000,-73.973784,40.593055,2425 MCDONALD AVE
Kings,733255,Store,JAC,HOWARD MARKET LLC,HOWARD MARKET,54,HOWARD AVE,,,BROOKLYN,NY,11221,1000,-73.920771,40.686819,54 HOWARD AVE
New York,733238,Store,JAC,G & J DELI FOOD CORP,G & J DELI FOOD,445,AUDUBON AVE,,,NEW YORK,NY,10040,1800,-73.929456,40.852686,445 AUDUBON AVE
Kings,733236,Store,JAC,HOP STOCK & BARREL II LLC,MEKELBURG'S,319,KENT AVE,,,BROOKLYN,NY,11249,4600,-73.967409,40.713298,319 KENT AVE
Kings,733235,Store,JAC,HOP STOCK & BARREL LLC,MEKELBURG'S,293,GRAND AVE,,,BROOKLYN,NY,11238,2200,-73.962623,40.687514,293 GRAND AVE
Bronx,733189,Store,JAC,BELLA DELI MARKET CORP,BELLA DELI MARKET,4011,E TREMONT AVE,,,BRONX,NY,10465,1800,-73.817923,40.820205,4011 E TREMONT AVE
